"","risk_id","status_id","first_name","last_name","age","gender","email"
"61",17,1973,"Givenchy","Prada",93,"male","real@email.com"
"62",19,2218,"Bape","Margiela",5,"male","fake@sputnik.net"
"63",18,2919,"Bape","GoldenGooseDeluxe",81,"female","real@email.com"
"64",13,1931,"RalphLauren","Balmain",39,"other","pseudo@hotmail.com"
"65",13,442,"Bape","Margiela",13,"female","pseudo@email.edu"
"66",12,1197,"Moncler","Fendi",48,"other","fake@gmail.com"
"67",16,411,"Bape","Balmain",55,"other","pseudo@hotmail.com"
"68",19,2207,"Vetements","Cartier",33,"other","pseudo@hotmail.com"
"69",10,1127,"Bape","theNorthFace",46,"female","pseudo@hotmail.com"
"70",20,2244,"Maharishi","yvesSaintLauren",93,"other","pseudo@email.edu"
"71",10,720,"Armani","Balmain",17,"female","real@email.com"
"72",1,2491,"RalphLauren","Fendi",58,"other","fake@illinois.edu"
"73",5,2307,"Givenchy","theNorthFace",62,"other","fake@gmail.com"
"74",6,2013,"RalphLauren","theNorthFace",2,"male","fake@gmail.com"
"75",13,2225,"Moncler","Fendi",71,"other","fake@hotmail.com"
"76",14,1917,"RalphLauren","Sputnik",60,"female","fake@sputnik.net"
"77",3,1672,"Givenchy","Cartier",98,"other","fake@illinois.edu"
"78",11,645,"RalphLauren","Margiela",41,"female","fake@illinois.edu"
"79",20,1669,"Burberry","theNorthFace",63,"other","pseudo@hotmail.com"
"80",19,2832,"Moncler","Prada",55,"other","pseudo@illinois.edu"
"81",8,180,"Bape","Fendi",42,"male","fake@hotmail.com"
"82",14,1527,"Armani","Cartier",75,"other","real@email.com"
"83",5,1752,"Armani","Fendi",81,"female","pseudo@illinois.edu"
"84",14,1809,"Burberry","theNorthFace",49,"male","realReal@email.edu"
"85",15,582,"Versace","Cartier",86,"male","fake@sputnik.net"
"86",16,2586,"Bape","Margiela",99,"male","pseudo@verizon.net"
"87",7,806,"CanadaGoose","Prada",12,"female","pseudo@verizon.net"
"88",14,1675,"Givenchy","Margiela",60,"female","real@email.com"
"89",7,1219,"Givenchy","GoldenGooseDeluxe",90,"male","fake@gmail.com"
"90",2,693,"Givenchy","theNorthFace",34,"male","pseudo@verizon.net"
"91",20,68,"Givenchy","Balmain",94,"female","pseudo@illinois.edu"
"92",12,1928,"CanadaGoose","Prada",58,"other","fake@illinois.edu"
"93",13,1178,"Armani","Sputnik",42,"other","fake@sputnik.net"
"94",19,143,"Burberry","theNorthFace",73,"male","fake@sputnik.net"
"95",5,2036,"Bape","Sputnik",13,"male","real@email.com"
"96",8,2911,"RalphLauren","yvesSaintLauren",62,"male","fake@illinois.edu"
"97",15,2033,"CanadaGoose","Fendi",62,"male","pseudo@hotmail.com"
"98",13,1492,"Maharishi","Prada",8,"female","real@email.com"
"99",2,497,"CanadaGoose","Prada",91,"female","pseudo@illinois.edu"
"100",13,2537,"Versace","Cartier",74,"male","fake@sputnik.net"
"101",11,280,"Moncler","Fendi",95,"male","fake@illinois.edu"
"102",18,1959,"CanadaGoose","GoldenGooseDeluxe",94,"female","fake@sputnik.net"
"103",11,2519,"Moncler","Sputnik",67,"male","fake@gmail.com"
"104",9,1473,"Maharishi","Prada",41,"other","realReal@email.edu"
"105",20,1953,"Armani","Fendi",60,"female","fake@sputnik.net"
"106",4,2872,"Moncler","Prada",22,"other","pseudo@email.edu"
"107",9,2284,"CanadaGoose","Prada",23,"male","fake@sputnik.net"
"108",19,2873,"CanadaGoose","Balmain",60,"male","fake@sputnik.net"
"109",2,2879,"Vetements","yvesSaintLauren",83,"female","fake@gmail.com"
"110",1,2188,"Bape","yvesSaintLauren",91,"other","fake@hotmail.com"
"111",5,888,"Burberry","Sputnik",9,"male","real@email.com"
"112",11,2644,"Bape","Balmain",28,"other","fake@hotmail.com"
"113",13,2582,"Armani","theNorthFace",60,"male","real@email.com"
"114",2,523,"Moncler","Prada",61,"other","fake@hotmail.com"
"115",20,1739,"Burberry","theNorthFace",76,"female","pseudo@verizon.net"
"116",8,1748,"Burberry","Cartier",66,"female","fake@gmail.com"
"117",11,2869,"Burberry","Balmain",79,"other","fake@sputnik.net"
"118",12,504,"Maharishi","GoldenGooseDeluxe",90,"female","pseudo@hotmail.com"
"119",18,843,"Bape","theNorthFace",17,"male","fake@illinois.edu"
"120",3,491,"Moncler","Fendi",34,"male","fake@hotmail.com"
"121",7,413,"CanadaGoose","GoldenGooseDeluxe",28,"other","pseudo@verizon.net"
"122",14,981,"RalphLauren","GoldenGooseDeluxe",64,"female","pseudo@illinois.edu"
"123",15,1603,"Armani","Fendi",45,"other","fake@illinois.edu"
"124",11,1427,"Bape","Chanel",21,"female","fake@hotmail.com"
"125",9,2721,"Maharishi","Balmain",82,"female","fake@illinois.edu"
"126",17,2427,"Armani","Balmain",55,"female","pseudo@verizon.net"
"127",9,2401,"Versace","Chanel",69,"female","fake@sputnik.net"
"128",1,2405,"Burberry","Chanel",12,"other","fake@illinois.edu"
"129",20,120,"Bape","Fendi",59,"other","fake@hotmail.com"
"130",13,555,"Maharishi","theNorthFace",35,"male","pseudo@email.edu"
"131",14,2296,"Versace","Chanel",54,"female","real@email.com"
"132",6,172,"CanadaGoose","Balmain",33,"female","fake@gmail.com"
"133",2,547,"CanadaGoose","GoldenGooseDeluxe",85,"male","realReal@email.edu"
"134",5,424,"Burberry","yvesSaintLauren",73,"female","fake@hotmail.com"
"135",4,462,"Bape","Margiela",79,"female","real@email.com"
"136",19,468,"Maharishi","Sputnik",83,"other","pseudo@illinois.edu"
"137",4,1754,"Vetements","Sputnik",6,"female","pseudo@hotmail.com"
"138",15,1152,"Armani","Chanel",9,"female","pseudo@email.edu"
"139",11,2219,"CanadaGoose","Balmain",18,"female","realReal@email.edu"
"140",6,1407,"Burberry","yvesSaintLauren",100,"other","pseudo@hotmail.com"
"141",17,745,"CanadaGoose","yvesSaintLauren",58,"other","pseudo@illinois.edu"
"142",4,2855,"Armani","GoldenGooseDeluxe",8,"female","fake@gmail.com"
"143",8,1414,"Burberry","Chanel",72,"male","pseudo@verizon.net"
"144",13,1565,"CanadaGoose","Fendi",17,"female","fake@gmail.com"
"145",7,1240,"Vetements","Sputnik",61,"other","pseudo@illinois.edu"
"146",11,527,"Burberry","Cartier",34,"female","fake@hotmail.com"
"147",4,1043,"Vetements","theNorthFace",5,"male","pseudo@hotmail.com"
"148",11,2251,"Maharishi","Cartier",97,"other","real@email.com"
"149",1,2064,"Versace","Balmain",52,"male","fake@illinois.edu"
"150",1,1712,"Maharishi","Cartier",32,"other","pseudo@illinois.edu"
"151",17,2808,"Moncler","Chanel",18,"male","realReal@email.edu"
"152",13,1972,"RalphLauren","Balmain",44,"male","fake@sputnik.net"
"153",17,1086,"RalphLauren","theNorthFace",85,"female","fake@gmail.com"
"154",8,311,"Givenchy","Cartier",77,"other","real@email.com"
"155",5,1720,"Maharishi","Prada",42,"male","pseudo@hotmail.com"
"156",20,2158,"Armani","GoldenGooseDeluxe",1,"male","pseudo@verizon.net"
"157",8,446,"Burberry","GoldenGooseDeluxe",55,"other","realReal@email.edu"
"158",19,2741,"CanadaGoose","theNorthFace",30,"other","pseudo@email.edu"
"159",18,270,"CanadaGoose","theNorthFace",82,"male","fake@illinois.edu"
"160",5,2612,"Vetements","Fendi",80,"female","realReal@email.edu"
"161",3,1207,"Armani","Sputnik",53,"female","fake@gmail.com"
"162",7,709,"RalphLauren","yvesSaintLauren",39,"other","fake@sputnik.net"
"163",3,1671,"Moncler","Cartier",53,"male","realReal@email.edu"
"164",2,2608,"RalphLauren","Balmain",74,"male","fake@illinois.edu"
"165",6,678,"Armani","Fendi",94,"female","fake@illinois.edu"
"166",5,2268,"CanadaGoose","Margiela",75,"other","fake@sputnik.net"
"167",19,2629,"Armani","GoldenGooseDeluxe",27,"other","pseudo@email.edu"
"168",16,1422,"Burberry","Sputnik",2,"male","realReal@email.edu"
"169",11,1663,"Moncler","Fendi",30,"male","real@email.com"
"170",12,2256,"CanadaGoose","Chanel",67,"male","fake@gmail.com"
"171",6,2003,"Givenchy","theNorthFace",57,"female","pseudo@hotmail.com"
"172",16,2831,"RalphLauren","Margiela",33,"male","pseudo@verizon.net"
"173",1,2521,"Givenchy","theNorthFace",12,"male","pseudo@hotmail.com"
"174",13,351,"Givenchy","Prada",64,"male","pseudo@hotmail.com"
"175",12,1813,"Moncler","theNorthFace",62,"male","fake@hotmail.com"
"176",17,1826,"Versace","Cartier",7,"other","pseudo@verizon.net"
"177",8,545,"Versace","Fendi",11,"female","real@email.com"
"178",16,499,"Vetements","Chanel",29,"female","fake@sputnik.net"
"179",18,478,"Burberry","Sputnik",88,"male","pseudo@verizon.net"
"180",20,1932,"Maharishi","Balmain",51,"male","fake@gmail.com"
"181",2,739,"Bape","Chanel",71,"female","fake@sputnik.net"
"182",5,551,"RalphLauren","Sputnik",91,"female","fake@hotmail.com"
"183",9,1579,"CanadaGoose","yvesSaintLauren",3,"female","real@email.com"
"184",2,35,"Moncler","yvesSaintLauren",2,"female","fake@hotmail.com"
"185",8,922,"Moncler","Cartier",65,"male","fake@hotmail.com"
"186",18,1097,"Moncler","Balmain",30,"male","fake@hotmail.com"
"187",7,1226,"Givenchy","Prada",11,"female","fake@hotmail.com"
"188",8,879,"Vetements","Balmain",71,"female","pseudo@illinois.edu"
"189",14,1129,"RalphLauren","theNorthFace",30,"male","realReal@email.edu"
"190",2,2125,"Armani","Cartier",23,"other","pseudo@email.edu"
"191",10,2199,"Burberry","theNorthFace",77,"female","pseudo@email.edu"
"192",13,1381,"Maharishi","Sputnik",31,"female","fake@hotmail.com"
"193",20,2753,"RalphLauren","Cartier",19,"female","pseudo@verizon.net"
"194",16,1348,"RalphLauren","Fendi",44,"other","pseudo@illinois.edu"
"195",15,447,"CanadaGoose","Fendi",50,"other","fake@illinois.edu"
"196",5,1073,"Armani","Cartier",39,"male","pseudo@hotmail.com"
"197",6,1445,"Moncler","Margiela",5,"other","fake@sputnik.net"
"198",17,327,"Burberry","GoldenGooseDeluxe",13,"female","realReal@email.edu"
"199",16,546,"CanadaGoose","Sputnik",52,"other","real@email.com"
"200",3,2066,"Armani","yvesSaintLauren",59,"male","real@email.com"
"201",10,2370,"Moncler","Cartier",37,"female","pseudo@email.edu"
"202",19,1673,"Maharishi","Balmain",63,"other","fake@sputnik.net"
"203",10,526,"Givenchy","Chanel",52,"female","fake@hotmail.com"
"204",5,488,"Givenchy","GoldenGooseDeluxe",17,"male","pseudo@email.edu"
"205",12,2059,"Moncler","Sputnik",12,"male","fake@gmail.com"
"206",6,2709,"RalphLauren","Chanel",3,"male","fake@gmail.com"
"207",9,1003,"Vetements","Prada",81,"male","fake@illinois.edu"
"208",15,725,"Bape","GoldenGooseDeluxe",92,"male","realReal@email.edu"
"209",18,1174,"Armani","yvesSaintLauren",25,"male","real@email.com"
"210",6,1525,"Vetements","Fendi",32,"female","realReal@email.edu"
"211",9,1693,"Vetements","Sputnik",88,"male","pseudo@hotmail.com"
"212",12,1736,"Bape","Sputnik",65,"other","pseudo@email.edu"
"213",18,1538,"Bape","Chanel",29,"male","pseudo@verizon.net"
"214",12,1239,"Versace","Prada",51,"female","pseudo@verizon.net"
"215",6,863,"Burberry","Balmain",45,"male","pseudo@email.edu"
"216",19,2640,"CanadaGoose","Prada",18,"male","fake@illinois.edu"
"217",12,2745,"Burberry","theNorthFace",77,"other","realReal@email.edu"
"218",2,2750,"CanadaGoose","Cartier",21,"female","pseudo@verizon.net"
"219",6,1684,"Bape","Sputnik",100,"female","pseudo@hotmail.com"
"220",17,676,"Vetements","Chanel",65,"other","realReal@email.edu"
"221",16,2718,"CanadaGoose","Margiela",25,"other","fake@illinois.edu"
"222",5,544,"RalphLauren","Sputnik",15,"female","fake@sputnik.net"
"223",20,1285,"Moncler","GoldenGooseDeluxe",19,"female","pseudo@email.edu"
"224",19,2104,"Burberry","Prada",77,"other","pseudo@email.edu"
"225",11,2374,"CanadaGoose","Chanel",91,"other","real@email.com"
"226",18,2095,"RalphLauren","Fendi",49,"male","real@email.com"
"227",8,2587,"Burberry","Prada",56,"female","pseudo@illinois.edu"
"228",14,81,"Versace","Fendi",3,"female","pseudo@illinois.edu"
"229",12,916,"RalphLauren","GoldenGooseDeluxe",10,"female","realReal@email.edu"
"230",2,822,"RalphLauren","Margiela",71,"male","fake@illinois.edu"
"231",4,2009,"Maharishi","theNorthFace",66,"female","fake@gmail.com"
"232",13,923,"Givenchy","theNorthFace",41,"male","fake@gmail.com"
"233",8,600,"CanadaGoose","Sputnik",79,"male","fake@sputnik.net"
"234",4,310,"Armani","Fendi",17,"male","fake@illinois.edu"
"235",2,1436,"Vetements","Margiela",55,"male","pseudo@hotmail.com"
"236",2,2912,"CanadaGoose","Sputnik",20,"other","pseudo@verizon.net"
"237",6,1901,"Vetements","Prada",33,"other","pseudo@hotmail.com"
"238",4,970,"Maharishi","GoldenGooseDeluxe",31,"other","pseudo@verizon.net"
"239",10,2417,"Moncler","Balmain",88,"other","pseudo@email.edu"
"240",4,271,"Moncler","Sputnik",83,"female","realReal@email.edu"
"241",11,1300,"RalphLauren","Fendi",95,"female","real@email.com"
"242",10,2063,"Maharishi","Prada",69,"other","realReal@email.edu"
"243",8,1596,"Givenchy","Chanel",48,"male","realReal@email.edu"
"244",13,639,"Givenchy","Sputnik",8,"male","fake@hotmail.com"
"245",3,539,"Vetements","Fendi",64,"male","pseudo@email.edu"
"246",18,1956,"CanadaGoose","theNorthFace",87,"other","fake@illinois.edu"
"247",11,646,"Vetements","GoldenGooseDeluxe",88,"other","real@email.com"
"248",15,617,"RalphLauren","Chanel",23,"male","pseudo@verizon.net"
"249",10,2615,"Versace","Margiela",87,"male","fake@hotmail.com"
"250",15,1401,"Burberry","Margiela",22,"female","pseudo@hotmail.com"
"251",9,1640,"Givenchy","Cartier",79,"male","pseudo@illinois.edu"
"252",8,1942,"Versace","Fendi",34,"other","fake@illinois.edu"
"253",4,2305,"Maharishi","Cartier",78,"female","pseudo@verizon.net"
"254",12,925,"Maharishi","Cartier",50,"female","fake@hotmail.com"
"255",17,2841,"Versace","Sputnik",69,"female","pseudo@hotmail.com"
"256",5,2299,"Armani","Sputnik",25,"female","real@email.com"
"257",8,1493,"Givenchy","Margiela",95,"female","real@email.com"
"258",8,1904,"Burberry","Margiela",5,"other","fake@sputnik.net"
"259",1,493,"RalphLauren","GoldenGooseDeluxe",1,"male","fake@sputnik.net"
"260",11,2785,"RalphLauren","Fendi",78,"female","pseudo@verizon.net"
"261",18,2273,"Bape","GoldenGooseDeluxe",43,"female","pseudo@verizon.net"
"262",7,1369,"Givenchy","Fendi",50,"other","pseudo@illinois.edu"
"263",1,2563,"Givenchy","Prada",11,"female","realReal@email.edu"
"264",9,471,"Maharishi","Fendi",18,"male","pseudo@illinois.edu"
"265",14,339,"Vetements","GoldenGooseDeluxe",47,"male","fake@illinois.edu"
"266",5,791,"Burberry","yvesSaintLauren",9,"female","pseudo@hotmail.com"
"267",15,2183,"Bape","Balmain",49,"male","fake@gmail.com"
"268",9,2915,"CanadaGoose","Balmain",67,"male","fake@illinois.edu"
"269",19,2411,"CanadaGoose","Balmain",10,"female","pseudo@illinois.edu"
"270",2,2687,"Maharishi","yvesSaintLauren",5,"female","fake@gmail.com"
"271",2,1696,"Moncler","theNorthFace",12,"male","pseudo@hotmail.com"
"272",18,3,"Armani","GoldenGooseDeluxe",7,"male","fake@hotmail.com"
"273",20,2503,"Burberry","Chanel",67,"male","real@email.com"
"274",5,801,"Maharishi","Chanel",83,"male","fake@gmail.com"
"275",16,1714,"Armani","Margiela",67,"female","pseudo@email.edu"
"276",15,2292,"Bape","GoldenGooseDeluxe",52,"male","fake@gmail.com"
"277",2,1343,"Bape","theNorthFace",100,"female","real@email.com"
"278",11,1650,"Vetements","Cartier",1,"female","fake@gmail.com"
"279",10,1570,"Armani","Sputnik",79,"other","real@email.com"
"280",6,2716,"RalphLauren","theNorthFace",21,"female","fake@gmail.com"
"281",5,354,"Vetements","theNorthFace",81,"male","fake@gmail.com"
"282",17,2126,"RalphLauren","Cartier",51,"male","pseudo@hotmail.com"
"283",13,2498,"Moncler","GoldenGooseDeluxe",39,"male","fake@gmail.com"
"284",13,1115,"Burberry","Cartier",8,"other","fake@illinois.edu"
"285",10,1994,"Burberry","Chanel",90,"male","pseudo@verizon.net"
"286",12,1008,"Moncler","yvesSaintLauren",18,"female","fake@illinois.edu"
"287",18,2525,"Versace","Fendi",97,"female","fake@sputnik.net"
"288",4,2239,"CanadaGoose","Fendi",29,"male","fake@illinois.edu"
"289",19,37,"RalphLauren","yvesSaintLauren",29,"other","realReal@email.edu"
"290",4,2734,"Armani","Fendi",60,"male","pseudo@email.edu"
"291",20,2849,"Moncler","Balmain",88,"male","pseudo@verizon.net"
"292",17,1638,"Armani","Chanel",2,"other","fake@hotmail.com"
"293",9,2719,"Maharishi","Prada",20,"other","pseudo@illinois.edu"
"294",10,297,"Maharishi","yvesSaintLauren",78,"other","pseudo@illinois.edu"
"295",7,930,"Givenchy","Cartier",49,"other","pseudo@verizon.net"
"296",13,1263,"Vetements","Sputnik",40,"male","fake@hotmail.com"
"297",11,657,"Moncler","Sputnik",62,"other","fake@sputnik.net"
"298",1,2529,"Armani","theNorthFace",9,"female","real@email.com"
"299",8,1557,"Givenchy","yvesSaintLauren",74,"other","fake@hotmail.com"
"300",5,2864,"RalphLauren","Chanel",92,"female","pseudo@hotmail.com"
"301",19,2556,"RalphLauren","Margiela",84,"female","fake@sputnik.net"
"302",5,520,"Burberry","yvesSaintLauren",61,"male","pseudo@illinois.edu"
"303",1,2198,"Maharishi","Cartier",44,"other","pseudo@hotmail.com"
"304",18,1372,"Bape","Prada",1,"other","pseudo@verizon.net"
"305",6,1148,"Maharishi","Margiela",43,"female","real@email.com"
"306",5,648,"RalphLauren","Sputnik",92,"female","pseudo@email.edu"
"307",13,982,"Maharishi","Chanel",26,"male","pseudo@email.edu"
"308",20,1805,"Givenchy","yvesSaintLauren",24,"male","realReal@email.edu"
"309",15,2473,"CanadaGoose","Chanel",49,"female","real@email.com"
"310",10,2155,"Vetements","Chanel",72,"female","pseudo@illinois.edu"
"311",11,436,"Versace","GoldenGooseDeluxe",86,"male","pseudo@illinois.edu"
"312",17,460,"Maharishi","Sputnik",80,"female","fake@sputnik.net"
"313",16,2914,"Moncler","Chanel",71,"female","pseudo@illinois.edu"
"314",20,118,"Moncler","Balmain",70,"other","real@email.com"
"315",9,2664,"Vetements","yvesSaintLauren",54,"other","fake@illinois.edu"
"316",11,653,"RalphLauren","Margiela",68,"other","pseudo@hotmail.com"
"317",14,2107,"Bape","GoldenGooseDeluxe",7,"female","fake@sputnik.net"
"318",5,1761,"Burberry","Sputnik",75,"male","pseudo@verizon.net"
"319",6,305,"Burberry","Prada",40,"other","fake@illinois.edu"
"320",8,2767,"Givenchy","Sputnik",68,"male","pseudo@hotmail.com"
"321",3,701,"Burberry","Sputnik",49,"male","pseudo@illinois.edu"
"322",10,1217,"Bape","Cartier",35,"other","pseudo@email.edu"
"323",18,1072,"Bape","theNorthFace",37,"other","realReal@email.edu"
"324",7,1929,"Armani","Balmain",56,"female","pseudo@verizon.net"
"325",14,656,"Vetements","yvesSaintLauren",80,"male","fake@gmail.com"
"326",18,860,"CanadaGoose","Margiela",66,"male","fake@gmail.com"
"327",4,190,"Givenchy","Prada",40,"female","pseudo@illinois.edu"
"328",20,182,"CanadaGoose","yvesSaintLauren",12,"female","real@email.com"
"329",16,1472,"Armani","Prada",66,"female","pseudo@illinois.edu"
"330",7,889,"RalphLauren","Balmain",55,"other","pseudo@illinois.edu"
"331",10,186,"RalphLauren","Balmain",94,"male","fake@illinois.edu"
"332",3,1965,"Versace","Margiela",98,"male","pseudo@verizon.net"
"333",6,99,"Bape","Cartier",23,"other","pseudo@illinois.edu"
"334",9,1151,"Maharishi","Sputnik",95,"male","fake@illinois.edu"
"335",2,2649,"Armani","Sputnik",23,"female","pseudo@hotmail.com"
"336",18,2481,"Moncler","GoldenGooseDeluxe",55,"male","fake@hotmail.com"
"337",2,2428,"Bape","Fendi",5,"other","fake@sputnik.net"
"338",4,878,"Vetements","Cartier",63,"female","fake@gmail.com"
"339",11,54,"Givenchy","Margiela",5,"female","fake@hotmail.com"
"340",16,1683,"Givenchy","Cartier",50,"male","fake@hotmail.com"
"341",15,171,"Armani","Sputnik",92,"other","pseudo@illinois.edu"
"342",18,60,"Burberry","GoldenGooseDeluxe",33,"female","pseudo@hotmail.com"
"343",3,979,"Moncler","Prada",68,"male","pseudo@email.edu"
"344",2,2094,"Givenchy","theNorthFace",54,"male","pseudo@illinois.edu"
"345",18,913,"Moncler","GoldenGooseDeluxe",60,"female","pseudo@verizon.net"
"346",20,2788,"Versace","Margiela",50,"female","pseudo@email.edu"
"347",10,416,"Vetements","Prada",55,"female","fake@illinois.edu"
"348",20,1231,"RalphLauren","yvesSaintLauren",96,"male","pseudo@illinois.edu"
"349",10,853,"Burberry","Fendi",49,"male","realReal@email.edu"
"350",10,2387,"RalphLauren","theNorthFace",34,"other","realReal@email.edu"
"351",18,1466,"RalphLauren","theNorthFace",14,"male","pseudo@email.edu"
"352",20,407,"Burberry","theNorthFace",14,"male","pseudo@verizon.net"
"353",9,1046,"CanadaGoose","Margiela",77,"other","fake@gmail.com"
"354",18,1541,"RalphLauren","Fendi",72,"female","pseudo@hotmail.com"
"355",16,730,"Maharishi","Margiela",52,"female","pseudo@verizon.net"
"356",5,233,"Burberry","Sputnik",37,"female","pseudo@email.edu"
"357",10,2794,"Burberry","theNorthFace",85,"other","real@email.com"
"358",11,2375,"CanadaGoose","Cartier",39,"female","pseudo@email.edu"
"359",1,1864,"Moncler","Sputnik",41,"female","pseudo@hotmail.com"
"360",19,1089,"Maharishi","Fendi",16,"male","pseudo@illinois.edu"
"361",18,618,"CanadaGoose","GoldenGooseDeluxe",22,"female","fake@gmail.com"
"362",18,231,"RalphLauren","GoldenGooseDeluxe",62,"female","real@email.com"
"363",5,833,"Versace","Margiela",2,"male","fake@hotmail.com"
"364",12,912,"Armani","Fendi",15,"male","fake@sputnik.net"
"365",3,816,"Versace","GoldenGooseDeluxe",47,"female","real@email.com"
"366",8,1440,"RalphLauren","Margiela",52,"other","fake@hotmail.com"
"367",5,371,"Armani","Fendi",48,"other","fake@illinois.edu"
"368",4,2324,"Vetements","theNorthFace",51,"other","pseudo@hotmail.com"
"369",9,629,"Bape","Prada",64,"male","fake@hotmail.com"
"370",10,637,"Bape","yvesSaintLauren",45,"other","pseudo@verizon.net"
"371",15,1924,"Burberry","Balmain",25,"other","pseudo@hotmail.com"
"372",3,2224,"CanadaGoose","Margiela",95,"male","fake@illinois.edu"
"373",14,1292,"Armani","Margiela",62,"other","pseudo@verizon.net"
"374",5,1843,"Versace","Cartier",95,"female","pseudo@hotmail.com"
"375",4,328,"Bape","theNorthFace",53,"other","fake@illinois.edu"
"376",15,2303,"Vetements","Cartier",29,"female","fake@sputnik.net"
"377",3,469,"Givenchy","Margiela",52,"male","fake@illinois.edu"
"378",3,1454,"Vetements","yvesSaintLauren",72,"other","fake@hotmail.com"
"379",4,1052,"Versace","Sputnik",82,"other","fake@illinois.edu"
"380",4,1848,"Bape","Margiela",17,"female","fake@illinois.edu"
"381",10,1200,"Bape","Chanel",31,"female","pseudo@verizon.net"
"382",17,2683,"Vetements","Fendi",29,"other","fake@hotmail.com"
